score,business,category,sequence,address,phone,email,email_unverified,website,observation,critical,response_ms
75,Roy's Hawaiian Fusion,restaurant,restaurant,800 S. Figueroa St.,+1-213-488-4994,,,https://www.roysrestaurant.com/,there is no tap-to-call number anywhere on their site,Tappable phone number,79
75,Fisher & Talwar: Los Angeles Car Accident & Eminent Domain Attorneys,lawyer,service,"801 S Grand Ave, 11th Fl",+1-213-891-0777,,,https://www.fishertalwar.com/,their link posts as a bare grey URL with no image when shared in a text or on Instagram,,1003
75,Just Ride LA,bicycle,service,1626 South Hill Street,+1 213 745 6783,,,https://www.justridela.com/,"their site has no structured business data, so Google cannot show their hours or address in search results",Local business listing data,789
75,Umami Burger,restaurant,restaurant,852 South Broadway,,,,https://poltekkesmahakamulu.org/,their site takes 1.8s to respond before anything renders,Tappable phone number,1835
75,Wild Living Foods,fast_food,restaurant,760 South Main Street,,,,https://www.wildlivingfoods.com/,their page has no single clear headline for search engines to read,,883
75,Bird's Nest Cafe - Adams Normandie,restaurant,restaurant,2403 S Vermont Ave,+1-323-641-7986,,,https://www.birdsnestla.com/,"their site has no structured business data, so Google cannot show their hours or address in search results",Local business listing data,1104
75,VIP Tickets,ticket,service,951 S Figueroa Street,+1-213-621-2222,,,https://www.viptickets.com/,their link posts as a bare grey URL with no image when shared in a text or on Instagram,,362
75,LitCo,cannabis,service,1323 South Flower Street,+1-844-685-4826,,,https://litcostaylit.com/,there is no tap-to-call number anywhere on their site,Tappable phone number,855
75,Angelino,clothes,retail,1149 Santee Street,+1 213-622-0915,,,https://angelino.us/,there is no tap-to-call number anywhere on their site,Tappable phone number,188
75,HH Brazilian Steakhouse,restaurant,restaurant,518 West 7th Street,+1 213-266-8103,,,https://www.hhsteakhouse.com/,there is no tap-to-call number anywhere on their site,Tappable phone number,135
75,Modern Animal,veterinary,service,301 West Olympic Boulevard,+1-866-505-8755,,,https://www.modernanimal.com/,their link posts as a bare grey URL with no image when shared in a text or on Instagram,,346
75,The Art Room,restaurant,restaurant,908 South Olive Street,+1-213-669-6100,,,https://expireddomains.com/domain/artroomdtla.com?utm_source=redi,"there is no form, email, or phone link on their site at all",Tappable phone number; Way to get in touch; Local business listing data,1093
75,Pho N Mor,restaurant,restaurant,3335 South Figueroa Street,+1-213-536-5110,,,https://www.phonmor.com/,there is no tap-to-call number anywhere on their site,Tappable phone number,200
75,Town Hof and Thanks Chicken,restaurant,restaurant,1144 South Western Avenue,+1 323-998-0818,,,https://thankschicken.com/,"their site has no structured business data, so Google cannot show their hours or address in search results",Local business listing data,523
75,Alta Planning + Design,consulting,service,617 West 7th Street,,,,https://altago.com/,"their site has no structured business data, so Google cannot show their hours or address in search results",Tappable phone number; Local business listing data,238
75,Rosie Wash Express Laundry,laundry,service,4700 South Normandie Avenue,+1 323 639 7272,,,https://www.rosiewashandfold.com/,"their site has no structured business data, so Google cannot show their hours or address in search results",Local business listing data,489
75,Portobanco's,restaurant,restaurant,1225 Venice Boulevard,+1-213-908-5565,,,https://www.portobancosrestaurant.com/,"there is no form, email, or phone link on their site at all",Tappable phone number; Way to get in touch,229
75,Asik Jewelry,jewelry,retail,637 South Hill Street,+1-213-623-5407,,,https://asikjewelry.com/,their page title is missing or truncated in Google results,,449
75,Weed Delivery & My Green Library Inc – East Los Angeles Cannabis Dispensary,cannabis,service,777 East Pico Boulevard,+1-213-573-6993,,,https://mygreenlibrary.com/,their site takes 2.9s to respond before anything renders,,2904
75,Atelier,property_management,service,801 South Olive Street,+1 213-658-6300,,,https://rent.brookfieldproperties.com/,"there is no form, email, or phone link on their site at all",Tappable phone number; Way to get in touch; Local business listing data,83
75,"Rose, Klein & Marias LLP",lawyer,service,801 South Grand Avenue,+12136260571,,,https://www.rkmlaw.net/,their link posts as a bare grey URL with no image when shared in a text or on Instagram,,1458
75,Marshall & Stevens,company,service,800 West 6th Street,,info@marshall-stevens.com,,https://marshall-stevens.com/,their page has no single clear headline for search engines to read,,445
75,USC-Eisner Family Medicine Center at California Hospital,clinic,service,1400 South Grand Avenue,,,,https://eisnerhealth.org/,their link posts as a bare grey URL with no image when shared in a text or on Instagram,,197
83,SanSai Japanese Grill,fast_food,restaurant,806 West 8th Street,+1-213-627-2053,,,https://sansaigrill.com/,their page title is missing or truncated in Google results,,623
83,LEVEL Furnished Living,estate_agent,service,888 South Olive Street,+1-213-873-8400,,,https://stayinglevel.com/,there is no tap-to-call number anywhere on their site,Tappable phone number,831
83,"QB Cure Accounting, Bookkeeping & QuickBooks Services",accountant,service,10568 W. Pico Blvd,+1-213-279-9955,,,https://qbcure.com/,their page title is missing or truncated in Google results,,837
83,Poppy + Rose,restaurant,restaurant,765 Wall Street,+1 213-995-7799,,,https://www.poppyandrose.com/,"there is no form, email, or phone link on their site at all",Tappable phone number; Way to get in touch,1154
83,Cognoscenti Coffee,cafe,restaurant,868 South Olive Street,,,,https://cogcoffee.com/,there is no tap-to-call number anywhere on their site,Tappable phone number,216
83,Barnes Law,lawyer,service,601 Figueroa Street,+1-213-294-3006,,,https://www.barneslawllp.com/,"their homepage has 4 competing main headings, so search engines cannot tell what the page is about",,713
83,Cognoscenti Coffee Roastery,cafe,restaurant,1118 San Julian Street,,,,https://cogcoffee.com/,there is no tap-to-call number anywhere on their site,Tappable phone number,185
83,"Glotzer & Leib, LLP",lawyer,service,714 West Olympic Boulevard,+1-213-309-3050,,,https://www.socalpersonalinjurylawyer.com/,their link posts as a bare grey URL with no image when shared in a text or on Instagram,,199
83,King & Siegel LLP,lawyer,service,724 South Spring Street,+1 213-465-4802,,,https://www.kingsiegel.com/,their page title is missing or truncated in Google results,,99
83,MGAC Los Angeles,consulting,service,707 Wilshire Boulevard,+1 213-417-7525,,,https://www.mgac.com/,there is no tap-to-call number anywhere on their site,Tappable phone number,168
83,The Collection,coworking,service,527 West 7th Street,+1 213-500-2794,,,https://thecollection527.com/,"their site has no structured business data, so Google cannot show their hours or address in search results",Local business listing data,435
83,University Tire & Auto Service,car_repair,service,2908 South Vermont Avenue,+1-323-733-1236,,,https://www.universitytirecenter.com/,their page title is missing or truncated in Google results,,431
83,Legally Name Change.com,lawyer,service,5001 South Central Avenue,,,,https://www.legallynamechange.com/,"there is no form, email, or phone link on their site at all",Tappable phone number; Way to get in touch,1045
83,Rosemary Grill,restaurant,restaurant,510 West 7th Street,+1-855-745-2262,,,https://rosemary-grill.com/,their page title is missing or truncated in Google results,,594
83,Backflow Test Pros Los Angeles,plumber,service,1150 South Olive Street,+1-310-753-7325,,,https://www.backflowtestpros.com/,"their site has no structured business data, so Google cannot show their hours or address in search results",Local business listing data,206
83,Cicada Restaurant and Lounge,restaurant,restaurant,617 South Olive Street,+1 213-488-9488,,,https://www.cicadarestaurant.com/,"their homepage has 3 competing main headings, so search engines cannot tell what the page is about",,104
83,Logunova Beauty Salon,hairdresser,service,607 South Olive Street,+1 213-338-2332,,,https://www.logunova.com/,their link posts as a bare grey URL with no image when shared in a text or on Instagram,,112
83,Inmod,furniture,retail,777 East 12th Street,+1-562-549-6950,,,https://www.inmod.com/,"their site has no structured business data, so Google cannot show their hours or address in search results",Local business listing data,361
83,Fuegos,restaurant,restaurant,3957 South Western Avenue,+1 323-403-2133,,,https://www.fuegosla.com/,"their site has no structured business data, so Google cannot show their hours or address in search results",Tappable phone number; Local business listing data,302
83,Global Linens,fabric,service,668 South Los Angeles Street,+1-213-689-8022,,,https://globallinenhome.myshopify.com/,there is no tap-to-call number anywhere on their site,Tappable phone number,335
83,JW Heating and Air,hvac,service,1135 Venice Boulevard,+1-866-632-0660,,,https://jwheatingandair.com/,their link posts as a bare grey URL with no image when shared in a text or on Instagram,,267
83,Mercado la Paloma,marketplace,service,3655 South Grand Avenue,,,,https://www.mercadolapaloma.com/,there is no tap-to-call number anywhere on their site,Tappable phone number,385
83,Somos Oaxaca,restaurant,restaurant,3224 Venice Boulevard,+1 323-998-0339,,,https://somosoaxaca.com/,their page title is missing or truncated in Google results,,156
92,No Ghost Bears,cafe,restaurant,305 East 8th Street,,,,https://www.atom.com/name/CoffeeColab,"their site has no structured business data, so Google cannot show their hours or address in search results",Local business listing data,646
92,Ghozland Law Firm,lawyer,service,626 Wilshire Blvd,+1-213-334-4570,,,https://www.la-personalinjurylaw.com/,"their search description runs 227 characters, so Google cuts it off mid-sentence in results",,1145
92,Burger District,restaurant,restaurant,231 East 9th Street,+1 213-291-9269,,,https://www.burgerdistrict.com/,"their search description is only 24 characters, so Google is rewriting it",,1064
92,Takami Sushi & Robata,restaurant,restaurant,811 Wilshire Boulevard,+1-213-236-9600,,,https://takamisushi.com/,"their homepage has 17 competing main headings, so search engines cannot tell what the page is about",,1099
92,M Spoon,restaurant,restaurant,2789 West Olympic Boulevard,+1-213-460-3535,,,https://mspoon-la.com/,their link posts as a bare grey URL with no image when shared in a text or on Instagram,,554
92,LogiFix Smart Device Repair,electronics_repair,service,701A South Broadway Street,+1-213-675-6036,,,https://logifixcalifornia.com/,"their search description runs 168 characters, so Google cuts it off mid-sentence in results",,146
92,Q,restaurant,restaurant,521 West 7th Street,+1-213-225-6285,,,https://www.qsushila.com/,"their site has no structured business data, so Google cannot show their hours or address in search results",Local business listing data,188
92,REDWHITE BONELESS RAMEN,restaurant,restaurant,"630, #110A West 6th Street",+1-213-221-7108,,,https://www.redwhiteusa.com/,their page title is missing or truncated in Google results,,593
92,Ames Lofts,property_management,service,111 West 7th Street,+1 213-698-5155,,,https://amesloftsdtla.com/,"their site has no structured business data, so Google cannot show their hours or address in search results",Local business listing data,421
92,South Park Lofts,property_management,service,818 South Grand Avenue,+1-213-429-4592,,,https://www.splofts.com/,their link posts as a bare grey URL with no image when shared in a text or on Instagram,,948
92,Moseley Collins Law,lawyer,service,656 South Los Angeles Street,+1-213-600-7000,,,https://www.moseleycollins.com/,their link posts as a bare grey URL with no image when shared in a text or on Instagram,,387
92,CalState Moving & Storage,moving_company,service,3203 Boaz Street,+1-800-888-1508,,,https://calstatemoving.com/,their link posts as a bare grey URL with no image when shared in a text or on Instagram,,471
100,HKM Employment Attorneys LLP,lawyer,service,700 South Flower Street,+1-213-769-6522,,,https://hkm.com/,their site is in good shape — worth leading with something other than a technical problem,,1013
100,Vermont Outlet True Value Hardware,hardware,retail,2929 South Vermont Avenue,+1-323-734-4477,,,https://ezadtv.com/digitalcommerce/,their site is in good shape — worth leading with something other than a technical problem,,652
100,Mahbod Style,hairdresser,service,650 South Grand Avenue,+1-213-545-6507,,,https://mahbodstyle.com/,their site is in good shape — worth leading with something other than a technical problem,,820
100,Brownstone Law,lawyer,service,2202 South Figueroa Street,+1-424-285-0903,,,https://www.brownstonelaw.com/,their site is in good shape — worth leading with something other than a technical problem,,170
100,Dentway,car_repair,service,3225 West Olympic Blvd,+1 213-383-7233,,,https://dentwayinc.com/,their site is in good shape — worth leading with something other than a technical problem,,1265
100,Super Auto Dent Body,car_repair,service,2330 West Washington Boulevard,,,,https://superautodentbody.com/,their site is in good shape — worth leading with something other than a technical problem,,101
